voyId,voydepartureY
91185,1608.0
91457,1632.0
91651,1640.0
91881,1653.0
91055,1595.0
91056,1595.0
91057,1595.0
91058,1595.0
91059,1598.0
91060,1598.0
91061,1598.0
91062,1598.0
91063,1598.0
91064,1598.0
91065,1598.0
91066,1598.0
91067,1598.0
91068,1598.0
91069,1598.0
91070,1598.0
91071,1598.0
91072,1598.0
91073,1598.0
91074,1598.0
91075,1598.0
91077,1598.0
91078,1598.0
91079,1598.0
91080,1598.0
91081,1598.0
91082,1599.0
91083,1599.0
91084,1599.0
91085,1599.0
91086,1599.0
91087,1599.0
91088,1599.0
91089,1599.0
91090,1599.0
91091,1599.0
91092,1599.0
91093,1600.0
91094,1600.0
91095,1600.0
91096,1600.0
91097,1600.0
91098,1600.0
91099,1600.0
91100,1600.0
91101,1601.0
91102,1601.0
91103,1601.0
91104,1601.0
91117,1601.0
91105,1601.0
91106,1601.0
91107,1601.0
91108,1601.0
91109,1601.0
91110,1601.0
91111,1601.0
91112,1601.0
91113,1601.0
91114,1601.0
91115,1601.0
91116,1601.0
91118,1601.0
91119,1601.0
91120,1601.0
91121,1602.0
91122,1602.0
91123,1602.0
91124,1602.0
91125,1602.0
91126,1602.0
91127,1602.0
91128,1602.0
91129,1602.0
91130,1602.0
91131,1602.0
91132,1602.0
91133,1602.0
91134,1602.0
91135,1602.0
91136,1603.0
91137,1603.0
91138,1603.0
91139,1603.0
91140,1603.0
91141,1603.0
91142,1603.0
91143,1603.0
91144,1603.0
91145,1603.0
91146,1603.0
91147,1603.0
91148,1604.0
91149,1605.0
91150,1605.0
91151,1605.0
91152,1605.0
91153,1605.0
91154,1605.0
91155,1605.0
91156,1605.0
91157,1605.0
91158,1605.0
91159,1605.0
91160,1605.0
91161,1606.0
91162,1606.0
91163,1606.0
91164,1606.0
91165,1606.0
91166,1606.0
91167,1606.0
91168,1606.0
91169,1606.0
91170,1606.0
91171,1607.0
91172,1607.0
91173,1607.0
91174,1607.0
91175,1607.0
91176,1607.0
91177,1607.0
91178,1607.0
91179,1607.0
91180,1607.0
91181,1607.0
91182,1607.0
91183,1607.0
91184,1607.0
91186,1608.0
91187,1609.0
91188,
91039,1610.0
